Debris Orbit Assessment Report
In-Orbit Count: 0
Exited Count: 49

Exited Debris List:
Record ID: 10436 | Name: COSMOS 839 DEB | Country: CIS | Orbit: LEO | Year: 1976 | Site: PKMTR | Long: 29.40 | AvgLong: -32.93 | Geohash:  | Days Old: 17741
Record ID: 12529 | Name: DELTA 1 DEB | Country: US | Orbit: LEO | Year: 1976 | Site: AFWTR | Long: -49.98 | AvgLong: 63.25 | Geohash:  | Days Old: 17720
Record ID: 21249 | Name: SL-8 DEB | Country: CIS | Orbit: LEO | Year: 1991 | Site: PKMTR | Long: -162.53 | AvgLong: -98.07 | Geohash:  | Days Old: 12409
Record ID: 26005 | Name: SL-14 DEB | Country: CIS | Orbit: LEO | Year: 1991 | Site: PKMTR | Long: 9.34 | AvgLong: 22.61 | Geohash:  | Days Old: 12181
Record ID: 29210 | Name: SCOUT G-1 DEB | Country: US | Orbit: LEO | Year: 1987 | Site: AFWTR | Long: 0.00 | AvgLong: 0.00 | Geohash:  | Days Old: 13654
Record ID: 29539 | Name: CZ-4B DEB | Country: PRC | Orbit: LEO | Year: 2006 | Site: TSC | Long: 26.25 | AvgLong: 127.11 | Geohash:  | Days Old: 6857
Record ID: 31518 | Name: FENGYUN 1C DEB | Country: PRC | Orbit: LEO | Year: 1999 | Site: TSC | Long: 0.00 | AvgLong: 0.00 | Geohash:  | Days Old: 9400
Record ID: 32558 | Name: DELTA 4H DEB | Country: US | Orbit: Unknown Orbit Category | Year: 2007 | Site: AFETR | Long: 0.00 | AvgLong: 0.00 | Geohash:  | Days Old: 6293
Record ID: 35350 | Name: PSLV DEB | Country: IND | Orbit: LEO | Year: 2001 | Site: SRI | Long: -19.90 | AvgLong: 94.22 | Geohash:  | Days Old: 8504
Record ID: 35670 | Name: COSMOS 2251 DEB | Country: CIS | Orbit: LEO | Year: 1993 | Site: PKMTR | Long: 40.00 | AvgLong: 50.95 | Geohash:  | Days Old: 11554
Record ID: 39350 | Name: CZ-3C DEB | Country: PRC | Orbit: HEO | Year: 2010 | Site: XSC | Long: -133.58 | AvgLong: -101.91 | Geohash:  | Days Old: 5208
Record ID: 39645 | Name: COSMOS 1867 COOLANT | Country: CIS | Orbit: LEO | Year: 1987 | Site: TTMTR | Long: 142.55 | AvgLong: 26.19 | Geohash:  | Days Old: 13722
Record ID: 46525 | Name: FREGAT DEB | Country: CIS | Orbit: LEO | Year: 2011 | Site: TTMTR | Long: 0.00 | AvgLong: 0.00 | Geohash:  | Days Old: 4948
Record ID: 4821 | Name: THORAD AGENA D DEB | Country: US | Orbit: LEO | Year: 1970 | Site: AFWTR | Long: 178.21 | AvgLong: -72.05 | Geohash:  | Days Old: 20024
Record ID: 50802 | Name: COSMOS 2499 DEB | Country: CIS | Orbit: LEO | Year: 2014 | Site: PKMTR | Long: 0.00 | AvgLong: 84.38 | Geohash:  | Days Old: 3908
